업태,업소명,영업소주소,소재지전화,데이터기준일자
여관업,송림장여관,강원특별자치도 춘천시 중앙로 162 (근화동), 033- 254-6138,2025-07-17
일반호텔,호텔정관루본관,강원특별자치도 춘천시 남산면 남이섬길 1, 031-580 -8119,2025-07-17
여관업,대지여관,강원특별자치도 춘천시 공지로 473-2 (근화동), 033- 254-5487,2025-07-17
여인숙업,소나무집여인숙,강원특별자치도 춘천시 북산면 추곡약수길 89-2,'<REPLACE>--,2025-07-17
관광호텔,에스파스 호스텔,강원특별자치도 춘천시 닥나무길 12 (효자동), 033- 256-2230,2025-07-17
여관업,황토모텔,강원특별자치도 춘천시 서부대성로44번길 3 (요선동),033 -241 -8599,2025-07-17
여관업,이오스모텔,강원특별자치도 춘천시 춘천로186번길 9 (효자동), 033- 241-5590,2025-07-17
여관업,금수장여관,강원특별자치도 춘천시 남춘로 32 (퇴계동), 033- 264-8433,2025-07-17
여관업,호텔라임,강원특별자치도 춘천시 중앙로68번길 22-4 (소양로3가),033 -257 -2860,2025-07-17
여관업,메이하우스,강원특별자치도 춘천시 남산면 남이섬길 1, 031- 582-2181,2025-07-17
여관업,천호장여관,강원특별자치도 춘천시 약사고개길 15-1 (죽림동), 033- 253-2722,2025-07-17
여인숙업,호텔정관루별관(게스트하우스),강원특별자치도 춘천시 남산면 남이섬길 1, 031- 582-2197,2025-07-17
일반호텔,춘천일기스테이,강원특별자치도 춘천시 중앙로27번길 9-1 (옥천동),'<REPLACE>--,2025-07-17
여관업,고향장여관,강원특별자치도 춘천시 운천길 28-15 (운교동), 033- 252-0607,2025-07-17
여관업,호반모텔,강원특별자치도 춘천시 춘천로68번길 9-1 (효자동), 033- 256-7531,2025-07-17
여관업,호텔121,강원특별자치도 춘천시 금강로121번길 16 (효자동), 033- 254-1151,2025-07-17
여관업,계림산장,강원특별자치도 춘천시 스포츠타운길 342-1 (삼천동), 033- 254-7392,2025-07-17
여관업,세이블모텔,강원특별자치도 춘천시 소양로120번길 11 (소양로2가), 033- 255-4494,2025-07-17
여관업,영은모텔,강원특별자치도 춘천시 중앙로 186-10 (근화동),033 -254 -4015,2025-07-17
여인숙업,강촌하우스,강원특별자치도 춘천시 서면 경춘로 1160,'<REPLACE>--,2025-07-17
여관업,모텔발렌타인,강원특별자치도 춘천시 춘천로170번길 16 (효자동), 033- 251-3970,2025-07-17
여관업,경성여관,강원특별자치도 춘천시 춘천로186번길 12-1 (효자동), 033- 254-1011,2025-07-17
여관업,코리아모텔,강원특별자치도 춘천시 춘천로170번길 14 (효자동), 033- 254-3131,2025-07-17
여관업,메이모텔,강원특별자치도 춘천시 공지로451번길 12-1 (근화동), 033-255 -6414,2025-07-17
관광호텔,춘천베어스관광호텔,강원특별자치도 춘천시 스포츠타운길 376 (삼천동), 033-245 -4300,2025-07-17
여관업,후평모텔,강원특별자치도 춘천시 보안길 101 (후평동), 033- 253-7539,2025-07-17
여관업,큐모텔,강원특별자치도 춘천시 춘천로186번길 10 (효자동), 033- 256-4334,2025-07-17
여관업,한성모텔,강원특별자치도 춘천시 공지로347번길 8 (효자동),033 -242 -3077,2025-07-17
여관업,GM모텔,강원특별자치도 춘천시 보안길 109 (후평동),033 -256 -4202,2025-07-17
여관업,태양파크,강원특별자치도 춘천시 공지로451번길 14 (근화동), 033- 242-5347,2025-07-17
여관업,메트로모텔,강원특별자치도 춘천시 춘천로186번길 12 (효자동), 033- 241-9700,2025-07-17
여관업,썸 모텔,강원특별자치도 춘천시 춘천로176번길 9 (효자동),033 -254 -4241,2025-07-17
여관업,소양필모텔,강원특별자치도 춘천시 신북읍 신샘밭로 679, 033- 241-2290,2025-07-17
여관업,조이모텔,강원특별자치도 춘천시 공지로 473 (근화동), 033-242 -9075,2025-07-17
여관업,이튼호텔,강원특별자치도 춘천시 서부대성로48번길 9-1 (요선동), 033- 254-4458,2025-07-17
일반호텔,춘천루체호텔,강원특별자치도 춘천시 방송길36번길 73-5 (근화동), 033- 241-7811,2025-07-17
여관업,별빛스테이,강원특별자치도 춘천시 남산면 강촌로 182, 033- 262-8852,2025-07-17
여관업,엘지장여관,강원특별자치도 춘천시 가연길5번길 11 (소양로4가), 033- 252-7700,2025-07-17
여관업,장수장여관,강원특별자치도 춘천시 효석로9번길 11-3 (효자동), 033- 264-8061,2025-07-17
여관업,위도파크장여관,강원특별자치도 춘천시 영서로 3072 (사농동), 033- 251-9132,2025-07-17
여관업,호반모텔,강원특별자치도 춘천시 서면 박사로 823, 033- 244-6151,2025-07-17
여관업,파라다이스모텔,강원특별자치도 춘천시 보안길 87 (후평동), 033- 257-2580,2025-07-17
여관업,유림모텔,강원특별자치도 춘천시 소양로219번길 5 (소양로1가), 033- 252-5878,2025-07-17
여관업,봄봄모텔,강원특별자치도 춘천시 방송길36번길 56 (근화동), 033- 242-0902,2025-07-17
여관업,황도파크여관,강원특별자치도 춘천시 방송길36번길 53-22 (근화동), 033- 256-2534,2025-07-17
여관업,라펠리즈호텔씨에스엠,강원특별자치도 춘천시 강창골길 14 (삼천동), 033- 241-6671,2025-07-17
여관업,수모텔,강원특별자치도 춘천시 영서로 2515 (근화동), 033- 254-1956,2025-07-17
여관업,더블유모텔,강원특별자치도 춘천시 영서로 2517 (근화동), 033- 243-0227,2025-07-17
여관업,뜨라네모텔,강원특별자치도 춘천시 구마니길 36 (삼천동), 033- 252-9455,2025-07-17
여관업,지퍼모텔,강원특별자치도 춘천시 보안길 91 (후평동), 033- 257-6161,2025-07-17
여관업,레오모텔,강원특별자치도 춘천시 동면 춘천로 558, 033- 257-5700,2025-07-17
여관업,아름다운세상리조텔,강원특별자치도 춘천시 사북면 화악지암길 782, 033- 243-2243,2025-07-17
여관업,대원모텔,강원특별자치도 춘천시 남산면 강촌구곡길 206, 033- 262-0255,2025-07-17
여관업,알프스모텔,강원특별자치도 춘천시 보안길 117 (후평동), 033- 243-6661,2025-07-17
여관업,궁전모텔,강원특별자치도 춘천시 퇴계로93번길 17 (퇴계동), 033- 261-9772,2025-07-17
여관업,미림파크여관,강원특별자치도 춘천시 옥산포길 39-3 (사농동), 033- 256-6232,2025-07-17
여관업,골든텔모텔,강원특별자치도 춘천시 동면 가락재로 93, 033- 241-5954,2025-07-17
여관업,오성모텔,강원특별자치도 춘천시 남춘로56번길 12 (효자동), 033- 264-0037,2025-07-17
여관업,더 베이 630,강원특별자치도 춘천시 서면 박사로 630, 033- 243-2929,2025-07-17
여관업,로즈파크,강원특별자치도 춘천시 신북읍 상천3길 13,'<REPLACE>--,2025-07-17
여관업,모텔가향,강원특별자치도 춘천시 신북읍 신샘밭로 749, 033- 242-2242,2025-07-17
여관업,낭만스테이,강원특별자치도 춘천시 구마니길 35 (삼천동), 033- 252-1122,2025-07-17
여관업,3D 시네마모텔,강원특별자치도 춘천시 중앙로27번길 5-4 (옥천동), 033- 241-0331,2025-07-17
여관업,시네마모텔,강원특별자치도 춘천시 동면 가산로 153, 033- 241-1575,2025-07-17
여관업,산내들,강원특별자치도 춘천시 남산면 갯골길 45, 033- 262-3538,2025-07-17
여관업,초원장여관,강원특별자치도 춘천시 효석로9번길 11-4 (효자동), 033- 264-0083,2025-07-17
여관업,삼일,강원특별자치도 춘천시 남산면 강촌로 246, 033-262 -0123,2025-07-17
여관업,그랜드모텔,강원특별자치도 춘천시 중앙로27번길 11 (옥천동), 033- 243-5021,2025-07-17
여관업,호텔샤인,강원특별자치도 춘천시 신북읍 신샘밭로 743, 033- 242-4471,2025-07-17
여관업,이프모텔,강원특별자치도 춘천시 우묵길 51 (퇴계동), 033- 242-2154,2025-07-17
여관업,대교장여관,강원특별자치도 춘천시 가연길5번길 45 (근화동),033 -252 -9641,2025-07-17
여관업,가평펜션남이섬리조트비버네민박집,강원특별자치도 춘천시 남산면 방하로 637-8, 033- 263-7444,2025-07-17
여관업,유진텔여관,강원특별자치도 춘천시 효석로9번길 5 (효자동), 033- 264-4422,2025-07-17
여관업,빅힐모텔,"강원특별자치도 춘천시 퇴계로77번길 22-2 (퇴계동, 외 1필지)", 033- 251-6366,2025-07-17
여인숙업,춘천 게스트하우스 청춘봄봄,강원특별자치도 춘천시 남춘로 33-1 (퇴계동),'<REPLACE>--,2025-07-17
여관업,고요스테이,강원특별자치도 춘천시 운교길6번길 7-1 (운교동),,2025-07-17
여관업,수향모텔,강원특별자치도 춘천시 동면 춘천로 575, 033- 257-5005,2025-07-17
일반호텔,플레인호텔(THE PLAIN),강원특별자치도 춘천시 스포츠타운길 234 (삼천동), 033- 255-0339,2025-07-17
여관업,파인힐모텔,강원특별자치도 춘천시 동면 소양강로 388, 033- 241-7600,2025-07-17
여관업,호텔몽,강원특별자치도 춘천시 춘천로68번길 21 (효자동), 033- 251-1161,2025-07-17
여관업,카리브모텔,강원특별자치도 춘천시 우묵길 47 (퇴계동), 033- 243-4720,2025-07-17
여관업,동원파크,강원특별자치도 춘천시 공지로451번길 7 (근화동), 033- 251-0712,2025-07-17
여관업,민들레민박,강원특별자치도 춘천시 남산면 강촌로 78, 033- 261-0129,2025-07-17
일반호텔,브라운도트호텔 남춘천점,"강원특별자치도 춘천시 남춘로25번길 5, 퇴계로77번길 10 (퇴계동)", 033- 255-8228,2025-07-17
여관업,이화여관,강원특별자치도 춘천시 공지로 475 (근화동),'<REPLACE>--,2025-07-17
일반호텔,봄스테이,강원특별자치도 춘천시 남춘로36번길 4 (효자동), 033- 264-1477,2025-07-17
일반호텔,모닝스카이,강원특별자치도 춘천시 효석로9번길 15 (효자동), 033- 263-3755,2025-07-17
여관업,하이리조텔,강원특별자치도 춘천시 보안길 85 (후평동), 033- 256-1258,2025-07-17
여관업,라벤다호텔,강원특별자치도 춘천시 남춘로5번길 10-2 (퇴계동), 033- 255-0550,2025-07-17
여관업,아비숑모텔,강원특별자치도 춘천시 우묵길 67 (퇴계동), 033- 255-8470,2025-07-17
여관업,호텔77(HOTEL77),강원특별자치도 춘천시 우묵길 77 (퇴계동), 033- 253-9997,2025-07-17
여관업,NO.25 HOTEL,강원특별자치도 춘천시 효석로9번길 17 (효자동), 033-257 -5555,2025-07-17
여관업,썬스타모텔,강원특별자치도 춘천시 남춘로5번길 7-1 (퇴계동), 033-244 -5100,2025-07-17
여관업,호텔파파야,강원특별자치도 춘천시 남춘로5번길 7 (퇴계동), 033- 255-0503,2025-07-17
일반호텔,감성료칸 호텔 우사기,강원특별자치도 춘천시 구마니길 24 (삼천동), 033- 252-5534,2025-07-17
여관업,테마모텔,강원특별자치도 춘천시 방송길36번길 73-10 (근화동), 033- 254-0355,2025-07-17
여관업,5IN(파이브인),강원특별자치도 춘천시 남춘로5번길 9-3 (퇴계동),033 -254 -5727,2025-07-17
여관업,노보텔,강원특별자치도 춘천시 금강로13번길 22 (소양로3가), 033- 256-1950,2025-07-17
여관업,로즈힐모텔,강원특별자치도 춘천시 남춘로56번길 10 (효자동), 033- 261-4800,2025-07-17
여관업,호텔야자춘천후평점,강원특별자치도 춘천시 보안길 107-1 (후평동), 033- 254-0755,2025-07-17
여관업,레이크모텔,강원특별자치도 춘천시 화목원1길 5-11 (사농동), 033- 253-6797,2025-07-17
여관업,호텔올레,강원특별자치도 춘천시 춘천로44번길 8 (퇴계동),033 -255 -5600,2025-07-17
여관업,호텔야자춘천시청점,강원특별자치도 춘천시 중앙로27번길 9-5 (옥천동),033 -244 -4701,2025-07-17
일반호텔,하운드호텔남춘천역,강원특별자치도 춘천시 남춘로 28 (퇴계동), 033- 262-5205,2025-07-17
여관업,조히텔,강원특별자치도 춘천시 후석로370번길 8 (후평동), 033- 253-5832,2025-07-17
일반호텔,에이치에비뉴 호텔 남춘천,강원특별자치도 춘천시 남춘로 51 (효자동), 033-241 -1962,2025-07-17
여관업,어베인호텔,강원특별자치도 춘천시 우묵길 81 (퇴계동), 033- 244-2389,2025-07-17
여관업,호텔필,강원특별자치도 춘천시 남춘로 30-1 (퇴계동), 033- 263-7096,2025-07-17
여관업,노블모텔,강원특별자치도 춘천시 금강로 129 (효자동), 033- 255-5544,2025-07-17
숙박업 기타,스테이오즈,강원특별자치도 춘천시 금강로121번길 19 (효자동), 033- 256-2563,2025-07-17
여관업,하몽모텔,강원특별자치도 춘천시 우묵길 59 (퇴계동), 033- 256-2450,2025-07-17
여관업,월드호텔,강원특별자치도 춘천시 옥천길 11 (중앙로1가), 033- 254-8001,2025-07-17
여관업,VIP모텔,강원특별자치도 춘천시 금강로13번길 21 (소양로3가), 033- 251-7786,2025-07-17
여관업,모텔티파니,강원특별자치도 춘천시 금강로 133-1 (효자동), 033- 242-0080,2025-07-17
여관업,비발디모텔,강원특별자치도 춘천시 스포츠타운길 296 (삼천동), 033- 242-9240,2025-07-17
여관업,코틴하우스,강원특별자치도 춘천시 공지로451번길 10 (근화동), 033- 252-5033,2025-07-17
일반호텔,호텔야자남춘천점,강원특별자치도 춘천시 퇴계로77번길 12 (퇴계동),033 -241 -0550,2025-07-17
여관업,발리모텔,강원특별자치도 춘천시 구마니길 20 (삼천동), 033- 257-0711,2025-07-17
여관업,캣츠호텔,강원특별자치도 춘천시 공지로 355 (효자동), 033- 257-7407,2025-07-17
여관업,제이드모텔,강원특별자치도 춘천시 동면 가산로 157-7, 033- 241-2599,2025-07-17
여관업,호텔22,강원특별자치도 춘천시 남춘로5번길 14-6 (퇴계동), 033- 242-4570,2025-07-17
일반호텔,뷰호텔,강원특별자치도 춘천시 시청길 36 (조양동), 033-242 -0023,2025-07-17
여관업,펜션강촌드림잉,강원특별자치도 춘천시 남산면 강촌로 100, 033- 262-3307,2025-07-17
일반호텔,소나무파인트리(PINE TREE),강원특별자치도 춘천시 우묵길 55 (퇴계동), 033- 242-8308,2025-07-17
여관업,델비아모텔,강원특별자치도 춘천시 방송길36번길 53-5 (근화동), 033- 253-7799,2025-07-17
여관업,드라마모텔,강원특별자치도 춘천시 서부대성로44번길 16 (요선동), 033- 244-6497,2025-07-17
여관업,퍼펙트모텔,강원특별자치도 춘천시 남춘로56번길 6 (효자동), 033- 261-3530,2025-07-17
여관업,호텔오띠모,강원특별자치도 춘천시 서부대성로43번길 4 (요선동), 033- 242-0116,2025-07-17
여관업,아이호텔,강원특별자치도 춘천시 공지로347번길 6 (효자동), 033- 257-0700,2025-07-17
여관업,모텔홀인원,강원특별자치도 춘천시 강창골길 35 (삼천동), 033- 256-1566,2025-07-17
여관업,"헤이,춘천(Heyy,chuncheon)",강원특별자치도 춘천시 남춘로 49 (효자동), 033- 243-5566,2025-07-17
여관업,리버사이드호텔,강원특별자치도 춘천시 신북읍 신샘밭로 745, 033- 242-3002,2025-07-17
여관업,호텔휴,강원특별자치도 춘천시 남춘로5번길 10-4 (퇴계동),033 -253 -4177,2025-07-17
여관업,별님과달님,강원특별자치도 춘천시 사북면 화악지암1길 124, 033- 243-4220,2025-07-17
여관업,펜텔굿타임,강원특별자치도 춘천시 남산면 강촌로 106, 033- 261-4720,2025-07-17
여관업,하얀별모텔,강원특별자치도 춘천시 강창골길 37 (삼천동), 033- 252-5789,2025-07-17
여관업,도그앤스테이,강원특별자치도 춘천시 남산면 갯골길 10-13,'<REPLACE>--,2025-07-17
여관업,비너스모텔,강원특별자치도 춘천시 우두상리길 108 (우두동), 033- 257-8028,2025-07-17
여관업,OST호텔,강원특별자치도 춘천시 서부대성로44번길 11 (요선동),033 -241 -7728,2025-07-17
여관업,화이트모텔,강원특별자치도 춘천시 충열로 260 (우두동),033 -242 -3006,2025-07-17
여관업,호텔코지,강원특별자치도 춘천시 금강로 31 (소양로3가),033 -253 -6996,2025-07-17
여인숙업,월드여관,강원특별자치도 춘천시 중앙로 176 (근화동),033 -254 -5013,2025-07-17
여관업,강촌폭포펜션,강원특별자치도 춘천시 남산면 강촌구곡길 135,033 -261 -4629,2025-07-17
일반호텔,S-쁘띠호텔,강원특별자치도 춘천시 춘천로56번길 5 (효자동),033 -243 -4422,2025-07-17
숙박업 기타,춘천여우그늘,강원특별자치도 춘천시 남산면 보매기1길 62-14,033 -262 -9986,2025-07-17
여관업,마임호텔,강원특별자치도 춘천시 우묵길 79 (퇴계동),033 -242 -5566,2025-07-17
여관업,숲속의강촌,강원특별자치도 춘천시 남산면 강촌로 186-3,033 -261 -1291,2025-07-17
여관업,Mu모텔,강원특별자치도 춘천시 서부대성로48번길 15 (요선동),033 -256 -7071,2025-07-17
여관업,소양강호텔,강원특별자치도 춘천시 공지로 480 (근화동),033 -243 -5300,2025-07-17
일반호텔,명동호텔,강원특별자치도 춘천시 아침길 12 (조양동),033 -241 -1188,2025-07-17
일반호텔,호텔N,강원특별자치도 춘천시 구마니길 26 (삼천동),033 -243 -5353,2025-07-17
여관업,초당장여관,강원특별자치도 춘천시 중앙로106번길 3 (낙원동),033 -242 -6562,2025-07-17
여관업,MOTEL.H.현대모텔,강원특별자치도 춘천시 춘천로68번길 17 (효자동),033 -253 -2224,2025-07-17
여관업,애플모텔,강원특별자치도 춘천시 효명길 10 (효자동),033 -252 -2335,2025-07-17
일반호텔,케이티엔지상상마당춘천스테이,강원특별자치도 춘천시 스포츠타운길399번길 22 (삼천동),033 -818 -4200,2025-07-17
여관업,센스무인텔,강원특별자치도 춘천시 남산면 보매기길 38,033 -261 -6161,2025-07-17
여관업,센스모텔,강원특별자치도 춘천시 남산면 보매기길 36,033 -261 -0040,2025-07-17
일반호텔,호텔명작,강원특별자치도 춘천시 춘천로176번길 13 (효자동),033 -241 -5689,2025-07-17
여관업,휴(休)춘천역,강원특별자치도 춘천시 소양고개길 12-1 (소양로2가),'<REPLACE>--,2025-07-17
여관업,대성장모텔,강원특별자치도 춘천시 중앙로166번길 6 (근화동), 033-256 -2421,2025-07-17
숙박업 기타,춘천에서 온 편지,"강원특별자치도 춘천시 소양로110번길 11, 2층 (소양로3가)",070 -4266-0930,2025-07-17
여관업,호텔봄내A,강원특별자치도 춘천시 구마니길 18 (삼천동),033 -254 -5800,2025-07-17
여관업,호텔봄내B,강원특별자치도 춘천시 구마니길 18 (삼천동),033 -254 -5800,2025-07-17
여관업,초콜릿무인텔,강원특별자치도 춘천시 구마니길 18 (삼천동),033 -244 -5200,2025-07-17
여관업,벤틀리,강원특별자치도 춘천시 춘천로170번길 17 (효자동),033 -241 -1011,2025-07-17
일반호텔,호텔공지천2호점,강원특별자치도 춘천시 강창골길 38 (삼천동),033 -257 -3989,2025-07-17
여관업,호텔루나,강원특별자치도 춘천시 남산면 갯골길 52,033 -263 -7722,2025-07-17
여관업,모텔제이,강원특별자치도 춘천시 공지로451번길 7-1 (근화동),'<REPLACE>--,2025-07-17
일반호텔,호텔라로체루즈,강원특별자치도 춘천시 우묵길 53 (퇴계동), 033-243 -5900,2025-07-17
일반호텔,더잭슨나인스호텔주식회사,"강원특별자치도 춘천시 중앙로 193, 지하1~지상15층 (근화동)",033 -253 -0000,2025-07-17
여관업,봄내에어하우스(AIRHOUSE),"강원특별자치도 춘천시 춘천로185번길 12-1, 2층 201,202호 (운교동)",'<REPLACE>--,2025-07-17
여관업,서울파크,강원특별자치도 춘천시 신북읍 상천3길 11,033 -244 -5400,2025-07-17
여관업,거래처,강원특별자치도 춘천시 서부대성로44번길 6 (요선동),'<REPLACE>--,2025-07-17
여관업,춘천스테이,강원특별자치도 춘천시 강창골길 33 (삼천동),'<REPLACE>--,2025-07-17
관광호텔,호텔인트로,강원특별자치도 춘천시 퇴계로77번길 22 (퇴계동),033 - 253-1117,2025-07-17
관광호텔,레고랜드 호텔,강원특별자치도 춘천시 하중도길 128 (중도동), 032- 815-2300,2025-07-17
관광호텔,소락재,"강원특별자치도 춘천시 공지로333번길 8, 2~3층 (효자동)",'<REPLACE>--,2025-07-17
일반호텔,에스턴호텔,강원특별자치도 춘천시 중앙로 193 (근화동),,2025-07-17
숙박업 기타,제이에스모텔(JS모텔),강원특별자치도 춘천시 아침길 16-1 (조양동),'<REPLACE>--,2025-07-17
일반호텔,어반서티,강원특별자치도 춘천시 중앙로 193 (근화동),,2025-07-17
일반호텔,잭슨나인스 호텔,"강원특별자치도 춘천시 중앙로 193, 더잭슨나인스호텔 (근화동)", 033- 253-0000,2025-07-17
여관업,브이(V)모텔,"강원특별자치도 춘천시 서부대성로47번길 3, 1~3층 (요선동)",033 -253 -6777,2025-07-17
여관업,톰스테이앤카페,강원특별자치도 춘천시 소양고개길 50-7 (요선동),,2025-07-17
관광호텔,버들도원,강원특별자치도 춘천시 서면 납실길 63-5,,2025-07-17
일반호텔,아늑에어호텔춘천점,강원특별자치도 춘천시 중앙로67번길 13 (조양동),,2025-07-17
일반호텔,춘천에스턴호텔,"강원특별자치도 춘천시 중앙로 193, 더잭슨나인스호텔, 에스턴호텔 (근화동)",033 -244 -0002,2025-07-17
일반호텔,M83HOTEL,"강원특별자치도 춘천시 중앙로 193, 더잭슨나인스호텔, 에스턴호텔 (근화동)", 033- 254-8932,2025-07-17
숙박업(생활),호텔정관루별관(콘도별장),강원특별자치도 춘천시 남산면 남이섬길 1, 031- 582-2197,2025-07-17
숙박업(생활),현민실업(주) 래금힐파크여관,강원특별자치도 춘천시 사북면 지내고탄로 752, 033- 244-7711,2025-07-17
숙박업(생활),엘리시안강촌 콘도미니엄,강원특별자치도 춘천시 남산면 북한강변길 688, 033- 260-2381,2025-07-17
숙박업(생활),씨앤텔,강원특별자치도 춘천시 남산면 강촌로 104, 033- 262-5514,2025-07-17
숙박업(생활),피그멜리온 이펙트,강원특별자치도 춘천시 서면 경춘로 405,033 -264 -6135,2025-07-17
숙박업(생활),느티나무마을,강원특별자치도 춘천시 남산면 강촌로 80-1, 033- 261-0051,2025-07-17
숙박업(생활),강촌홀리데이,강원특별자치도 춘천시 남산면 강촌로 174-9,'<REPLACE>--,2025-07-17
숙박업(생활),아띠펜션,강원특별자치도 춘천시 남산면 강촌로 174-8,033 -261 -9786,2025-07-17
숙박업(생활),아이산테니스펜션,강원특별자치도 춘천시 남산면 서백3길 101,'<REPLACE>--,2025-07-17
숙박업(생활),레이크192by호수로가는집,강원특별자치도 춘천시 사북면 가일길 555,'<REPLACE>--,2025-07-17
숙박업(생활),리얼다이어트캠프안피트니스컴퍼니,강원특별자치도 춘천시 남산면 강촌구곡길 221,070 -7757-7760,2025-07-17
숙박업(생활),오하루스파펜션,"강원특별자치도 춘천시 남산면 노일길 40-8, 2층",'<REPLACE>--,2025-07-17
숙박업(생활),라비에벨 콘도1차(빌라듄스),강원특별자치도 춘천시 동산면 조양리 산 166-1,033 -245 -7010,2025-07-17
숙박업(생활),강촌잠빌,강원특별자치도 춘천시 남산면 강촌로 250,'<REPLACE>--,2025-07-17
숙박업(생활),호텔공지천,강원특별자치도 춘천시 수변공원길 11 (삼천동),033 -244 -6100,2025-07-17
숙박업(생활),뷰티풀펜션,강원특별자치도 춘천시 남산면 강촌로 186,033 -261 -3355,2025-07-17
숙박업(생활),발리앤벨리,강원특별자치도 춘천시 서면 명월길 429-8,'<REPLACE>--,2025-07-17
숙박업(생활),소소펜션,"강원특별자치도 춘천시 남산면 강촌로 66, 2-4층",'<REPLACE>--,2025-07-17
숙박업(생활),해피데이,강원특별자치도 춘천시 남산면 갯골길 62-4,033 -262 -2567,2025-07-17
숙박업(생활),플록스펜션,"강원특별자치도 춘천시 남면 바깥말길 151, 147",'<REPLACE>--,2025-07-17
숙박업(생활),강촌프로방스,"강원특별자치도 춘천시 남산면 갯골길 62-3, 2층,3층",033 - 261-2657,2025-07-17
숙박업(생활),산에들에펜션,"강원특별자치도 춘천시 남산면 소주고개로 465-12, 1,2,3동",'<REPLACE>--,2025-07-17
숙박업(생활),헤이븐(haven),강원특별자치도 춘천시 남산면 서백1길 70,'<REPLACE>--,2025-07-17
숙박업(생활),376스테이,"강원특별자치도 춘천시 남산면 소주고개로 376, 2~3층",033 -263 -2302,2025-07-17
숙박업(생활),(주)호텔더베네치아,강원특별자치도 춘천시 효자로 136 (효자동),,2025-07-17
숙박업(생활),이와림,"강원특별자치도 춘천시 사북면 춘화로 736, 5층",,2025-07-17
숙박업(생활),노블풀빌라,"강원특별자치도 춘천시 남면 소주고개로 181-52, 주1동~주11동",,2025-07-17
숙박업(생활),호텔이스티아,강원특별자치도 춘천시 남춘로 22 (퇴계동),'<REPLACE>--,2025-07-17
숙박업(생활),호텔벨라,"강원특별자치도 춘천시 시청길 20, 벨라시티 (조양동)",'<REPLACE>--,2025-07-17
숙박업(생활),도도스테이,강원특별자치도 춘천시 금강로 1 (소양로3가),'<REPLACE>--,2025-07-17
숙박업(생활),벨라시티레지던스춘천,"강원특별자치도 춘천시 시청길 20, 벨라시티 (조양동)",'<REPLACE>--,2025-07-17
숙박업(생활),플라워펜션,"강원특별자치도 춘천시 남산면 강촌로 174-4, 1~3층",,2025-07-17
숙박업(생활),파인트리펜션,강원특별자치도 춘천시 남산면 보매기1길 62-12,'<REPLACE>--,2025-07-17
숙박업(생활),로로키즈풀빌라리조트,강원특별자치도 춘천시 남산면 동촌로 638,,2025-07-17
숙박업(생활),오후펜션,강원특별자치도 춘천시 남산면 강촌로 244,'<REPLACE>--,2025-07-17
숙박업(생활),서린춘천,강원특별자치도 춘천시 남면 소주고개로 17-60,,2025-07-17
숙박업(생활),인터스텔라인,강원특별자치도 춘천시 남면 소주고개로 236-17,,2025-07-17
숙박업(생활),빌라반우,"강원특별자치도 춘천시 남면 한덕발산길 91-15, 빌라반우",,2025-07-17
숙박업(생활),해피스데이애견펜션,강원특별자치도 춘천시 남산면 방하로 688-16,,2025-07-17
숙박업(생활),벨라스테이춘천,강원특별자치도 춘천시 춘천로 352 (후평동),,2025-07-17
숙박업(생활),꽃길만걷개,강원특별자치도 춘천시 남면 한덕발산길 61,'<REPLACE>--,2025-07-17
숙박업(생활),테니스포레나스테이,"강원특별자치도 춘천시 남산면 산수길 132, 2~4동",,2025-07-17
